category,name,price,image
paninis,Panini Merguez Chorizo,2.80,paniniChorizo.jpg
paninis,Panini Quatre Fromages,2.80,panini4fromages.jpg
paninis,Panini Burger,2.80,panini.png
paninis,Panini Poulet Curry,2.80,paniniCurry.jpg
paninis,Panini Nutella,2.00,paniniNutella.jpg
paninis,Tacoline vege (sans bave),5.00,tacoline.png
boissons,Oasis,1.00,oasis.jpg
boissons,Coca,1.00,coca.png
boissons,Orangina,1.00,orangina.png
boissons,Ice Tea,1.00,icetea.webp
boissons,Redbull,1.50,redbull.png
boissons,Cafe court,0.50,cafe.png
boissons,Cafe long,0.50,cafe.png
boissons,The,0.50,tea.png
boissons,Jus de Loïk (après entrainement),30.00,loikjuice1.png
desserts,Brownie,1.00,brownie.jpg
desserts,Cookie,1.20,cookie.png
desserts,Panini Nutella,2.00,paniniNutella.jpg
desserts,Fromage de Marius,0.05,marius.png
autres,Carte cafe,5.00,cartecafe.png
autres,Séance maquillage avec Hermeline,10.00,herme.jpg 
